"nivel","nombre","tipos","plazas"
"1","ADMINISTRATIVO I - SECRETARIA I","REGULAR","10"
"1","ADMINISTRATIVO I - SECRETARIA I - RECEPCIONISTA","REGULAR","1"
"1","ADMINISTRATIVO II","EVENTUAL/REGULAR","6"
"1","ASESOR ESTRAT�GICO","REGULAR","1"
"1","ASESOR FINANCIERO","REGULAR","1"
"1","ASESOR LEGAL","REGULAR","1"
"1","ASISTENTE ADMINISTRATIVO I","REGULAR","9"
"1","ASISTENTE ADMINISTRATIVO I - CASETA TURISMO I","REGULAR","1"
"1","ASISTENTE ADMINISTRATIVO I - CASETA TURISMO II","REGULAR","1"
"1","ASISTENTE ADMINISTRATIVO I- T�CNICO DE SEGUIMIENTO Y MONITOREO","REGULAR","1"
"1","AUDITOR INTERNO I","REGULAR","1"
"1","AUDITOR INTERNO II","REGULAR","1"
"1","AYUDANTE DE CAMPO - I (BRIGADA I)","EVENTUAL","1"
"1","AYUDANTE DE CAMPO - I- (BRIGADA II)","EVENTUAL","1"
"1","AYUDANTE DE CAMPO - II (BRIGADA II)","EVENTUAL","1"
"1","AYUDANTE DE CAMPO - III","EVENTUAL","1"
"1","AYUDANTE PROFESIONAL TECNICO - CONTROL DE TRANCA","CONSULTOR/EVENTUAL","3"
"1","AYUDANTE PROFESIONAL TECNICO I","CONSULTOR","1"
"1","AYUDANTE PROFESIONAL T�CNICO I - ARCHIVISTA","REGULAR","1"
"1","AYUDANTE PROFESIONAL T�CNICO I - DISE�O GR�FICO","REGULAR","1"
"1","AYUDANTE PROFESIONAL T�CNICO I - PROVISI�N Y DOTACI�N DE BS. Y SERV.","REGULAR","1"
"1","AYUDANTE PROFESIONAL T�CNICO II - VIVERISTA I","REGULAR","1"
"1","AYUDANTE PROFESIONAL T�CNICO II- VIVERISTA II","REGULAR","1"
"1","CHOFER PROFESIONAL I","CONSULTOR/REGULAR","4"
"1","CHOFER PROFESIONAL I - OPERADOR DE CISTERNA (A)","EVENTUAL","1"
"1","CHOFER PROFESIONAL I - OPERADOR DE CISTERNA (B)","EVENTUAL","1"
"1","CHOFER PROFESIONAL II - AYUDANTE LINIERO","EVENTUAL","1"
"1","CHOFER PROFESIONAL II - PROGRAMA DEPARTAMENTAL DE FORTALECIMIENTO A OBRAS CIVILES","EVENTUAL","1"
"1","CHOFER PROFESIONAL III","REGULAR","12"
"1","CHOFER PROFESIONAL V","EVENTUAL","7"
"1","DIRECTOR (A)  DESARROLLO SOCIAL, G�NERO GENERACIONAL Y FAMILIA","REGULAR","1"
"1","DIRECTOR (A) DE AGUAS, CUENCAS Y RIEGOS","REGULAR","1"
"1","DIRECTOR (A) DE INFRAESTRUCTURA","REGULAR","1"
"1","DIRECTOR (A) DE PROMOCI�N ECON�MICA, INDUSTRIA Y COMERCIO","REGULAR","1"
"1","DIRECTOR (A) DE RELACIONAMIENTO INTERNACIONAL Y GESTI�N INTERINSTITUCIONAL","REGULAR","1"
"1","DIRECTOR (A) DEPARTAMENTAL DE L�MITES TERRITORIALES","REGULAR","1"
"1","DIRECTOR (A) DEPARTAMENTAL DE SEGURIDAD CIUDADANA","REGULAR","1"
"1","DIRECTOR (A) SERVICIO DE FORTALECIMIENTO MUNICIPAL","REGULAR","1"
"1","DIRECTOR (A) SERVICIO DEPARTAMENTAL AGROPECUARIO","REGULAR","1"
"1","DIRECTOR DE REGALIAS MINERAS","REGULAR","1"
"1","DIRECTOR TECNICO DE GEOLOGIA, DESARROLLO MINERO Y ENERGIA","REGULAR","1"
"1","DIRECTOR(A) DE TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCI�N","REGULAR","1"
"1","ENCARGADO AREA DE DESARROLLO COOPERATIVO MINERO","REGULAR","1"
"1","ENCARGADO DE �REA -  INSTITUTOS T�CNICOS,TECNOL�GICOS Y ART�STICOS","REGULAR","1"
"1","ENCARGADO DE AREA - CONTABILIDAD INTEGRADA","REGULAR","1"
"1","ENCARGADO DE AREA - CONTRATACI�N DE BB.SS.","REGULAR","1"
"1","ENCARGADO DE AREA - DE MINERALES METALICOS NO METALICOS","REGULAR","1"
"1","ENCARGADO DE AREA - PRESUPUESTOS","REGULAR","1"
"1","ENCARGADO DE AREA - PROGRAMACI�N Y EVALUACION DE INVERSI�N P�BLICA","REGULAR","1"
"1","ENCARGADO DE AREA - PROVISI�N Y DOTACI�N DE BS. Y SERV.","REGULAR","1"
"1","ENCARGADO DE AREA - RECURSOS EVAPORITICOS Y ENERGETICOS","REGULAR","1"
"1","ENCARGADO DE AREA - RR.HH.","REGULAR","1"
"1","ENCARGADO DE �REA - TESORER�A Y CR�DITO P�BLICO","REGULAR","1"
"1","ENCARGADO DE AREA LEGAL","REGULAR","1"
"1","ENCARGADO DE AREA OPERATIVO DE CONTROL Y FISCALIZACION","REGULAR","1"
"1","ENCARGADO(A) DE AREA - OBRAS CIVILES","REGULAR","1"
"1","ENCARGADO(A) DE �REA - PROM. ECONOMICA, INDUSTRIA Y COMERCIO","REGULAR","1"
"1","ENCARGADO(A) DE AREA - TECNOLOG�A DE LA INFORMACI�N","REGULAR","1"
"1","FISCAL DE OBRA I","REGULAR","1"
"1","FISCAL DE OBRA II","REGULAR","1"
"1","FISCAL DE OBRA III","REGULAR","1"
"1","FISCAL DE OBRA IV","REGULAR","1"
"1","GESTOR JURIDICO - ADMINISTRATIVO","REGULAR","1"
"1","GOBERNADOR (A) DEL DEPARTAMENTO","REGULAR","1"
"1","JEFE (A) DE GABINETE","REGULAR","1"
"1","JEFE (A) DE UNIDAD DE MEDIO AMBIENTE Y RECURSOS NATURALES","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD  DE TRANSPORTE DEPARTAMENTAL","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD - DESARROLLO CULTURAL","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD - UPRADE","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD ADMINISTRATIVA","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD AUTONOM�AS","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE AN�LISIS JURIDICO","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE AUDITORIA INTERNA","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE COMUNICACI�N SOCIAL","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE DESARROLLO NORMATIVO INTERNO","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE FINANZAS","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE GESTION DE PROGRAMAS Y PROYECTOS","REGULAR","1"
"1","JEFE (A) DE UNIDAD II -JEFE (A) DE UNIDAD DE GESTION DE RIESGOS","REGULAR","1"
