"nivel","sigla","nombre","area_padre"
"1","DIR.SUP.","DIRECCION SUPERIOR","(RAIZ)"
"2","DRIGI","DIRECCION DE RELACIONAMIENTO INTERNACIONAL Y GESTION INTERINSTITUCIONAL","DIRECCION SUPERIOR"
"2","DTLC","DIRECCION DE TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCION","DIRECCION SUPERIOR"
"2","GABINETE","GABINETE DESPACHO","DIRECCION SUPERIOR"
"3","GABINETE DESPACHO","GABINETE DESPACHO SECRETARIOS","GABINETE DESPACHO"
"3","UDNI","UNIDAD DESARROLLO NORMATIVO INTERNO","GABINETE DESPACHO"
"2","SAR","RECEPCION DE DOCUMENTOS","DIRECCION SUPERIOR"
"2","SPR","SECCION DE PRODUCCION Y REDACCION","DIRECCION SUPERIOR"
"2","SRPP","SECCION DE RELACIONES PUBLICAS Y PROTOCOLO","DIRECCION SUPERIOR"
"2","UAI","UNIDAD DE AUDITORIA INTERNA","DIRECCION SUPERIOR"
"2","UUAA","UNIDAD DE AUTONOM?AS","DIRECCION SUPERIOR"
"2","UNID.COM","UNIDAD DE COMUNICACION SOCIAL","DIRECCION SUPERIOR"
"2","UDO","UNIDAD DE DESARROLLO ORGANIZACIONAL","DIRECCION SUPERIOR"
"2","UMS","UNIDAD DE MOVIMIENTOS SOCIALES","DIRECCION SUPERIOR"
"1","GADOR","GOBIERNO AUTONOMO DEPARTAMENTAL DE ORURO","(RAIZ)"
"1","PROGPROY","PROGRAMAS Y PROYECTOS 2026","(RAIZ)"
"2","AMFCC","APLIC. DE MEDIDAS FITOAMBIENTALES ANTE EL CAMBIO CLIMATICO 8 MUNICIPIOS DE LA CUENCA POOPO","PROGRAMAS Y PROYECTOS 2026"
"2","APGB","APOYO A LA PRODUCCION DE GANADO BOVINO EN 5 MUNICIPIOS PROD. DEL DPTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","APLCC","APOYO A LA PRODUCCION DE LLAMAS ANTE EL CAMBIO CLIMATICO EN 8 MUNICIPIOS DEL DPTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","COCHPLU","CONST. DE OBRAS DE CONTROL HIDRAULICO PARA LA PRESERVACION DEL LAGO URU URU","PROGRAMAS Y PROYECTOS 2026"
"2","CPPPMAS","CONST. PERFORACION DE POZOS PROFUNDOS Y MANEJO DE AGUAS SUBTERRANEAS DEL DEPTO. ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","FPHFVH","FORTAL. LA PRODUCCION DE HORTALIZAS Y FORRAJE VERDE HIDROPONICO EN 16 MUNICIPIOS DEL DEPTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","IAF","IMPLEM. DE AREAS FORESTALES EN 4 MUNICIPIOS DEL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","MPQMB","MEJ. DE LA PRODUCCION DE QUINUA MEDIANTE BIOINSUMOS EN 14 MUNICIPIOS DEL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","MGAA","MEJ. GENETICO DE ANIMALES DE ALTURA  EN EL DEPARTAMENTO ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","PAOI","PROGRAMA DE APOYO A OBRAS DE INFRAESTRUCTURA","PROGRAMAS Y PROYECTOS 2026"
"2","PAIPIA","PROGRAMA DE ATENCION INTEGRAL A LA PRIMERA INFANCIA Y ADOLESCENCIA DEL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","PAPREC","PROGRAMA DE ATENCION Y PREVENCION DE RIESGOS ANTE EVENTOS CLIMATICOS","PROGRAMAS Y PROYECTOS 2026"
"2","PFFCRMDO","PROGRAMA DE FORTALECIMIENTO DE FISCALIZACION Y CONTROL DE REGALIAS MINERAS EN EL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","PFGDAC","PROGRAMA DE FORTALECIMIENTO PARA LA GESTION Y DESARROLLO ARTISTICO Y CULTURAL","PROGRAMAS Y PROYECTOS 2026"
"2","PFITT","PROGRAMA DE FORTALECIMIENTOA LOS INSTITUTOS TECNICO TECNOLOGICOS DEL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","PMDTDO","PROGRAMA DE MANEJO Y DELIMITACION TERRITORIAL DEL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","PME","PROGRAMA DE MEJORAMIENTO ELECTRICO DEL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","PPAEDA","PROGRAMA DE PREVENCION Y APOYO A EMERGENCIAS Y/O DESASTRES AGROPECUARIOS EN MUNICIPIOS DEL DEPARTAMENTO DE ORURO","PROGRAMAS Y PROYECTOS 2026"
"2","PDAAE","PROGRAMA DEPARTAMENTAL AGROPECUARIO DE ATENCION Y EMERGENCIAS","PROGRAMAS Y PROYECTOS 2026"
"2","PDAPS","PROGRAMA DEPARTAMENTAL DE ATENCION Y PROTECCION SOCIAL","PROGRAMAS Y PROYECTOS 2026"
